Full Title,Artist,Genre,Instrument,Year
チョット (Chotto),Maki Ohguro,Rock / Pop,Vocals / Lyrics,1993
Trolling Myself,･​ﾟ​✧​(​=​✪ ᆺ ✪​=​) - ･​ﾟ​✧,Electronic / Dance,Drums,2022
Babylon Bwest Fwiend,Dj Bamberino,Electronic / Dance,Drums,2022
Babylon Bwest Fwiend,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
Girl You Know It's True,Lemon Ice,Electronic / Dance,Vocals / Lyrics,2007
Ça Va Pas Non !,MC Rich,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
In Cuba We Say,The Boys From the Bottom,Hip-Hop / Rap / R&B,Multiple Elements,1992
King of the Beats,Lavery,Electronic / Dance,Drums,2017
Seems It's Original VIP,Riffz,Electronic / Dance,Drums,2015
The Way It Goes Down,Msymiakos,Electronic / Dance,Drums,2014
The Devil's Work,F.X.,Electronic / Dance,Drums,2013
Some Place Dark,F.X.,Electronic / Dance,Drums,2018
Show Me the Way,Demented Frequency,Electronic / Dance,Drums,2020
The Dark Tune,Evade,Electronic / Dance,Drums,2019
Friday W/ Sonic,Cry From Memories,Electronic / Dance,Drums,2017
Ministral,Automated Reason,Electronic / Dance,Drums,2015
In My Room Forever,･ﾟ✧​(​=​✪ ᆺ ✪​=​) - ･ﾟ✧,Electronic / Dance,Drums,2021
2d Heaven,･ﾟ✧​(​=​✪ ᆺ ✪​=​) - ･ﾟ✧,Electronic / Dance,Drums,2021
Hound of the Baskervilles,F.X.,Electronic / Dance,Drums,2016
ONE,CDR,Electronic / Dance,Multiple Elements,2014
How It's Made: Shitcore,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2021
Too Easily,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
Yob A,CDR,Electronic / Dance,Drums,2014
I Dont Think So,CDR,Electronic / Dance,Drums,2014
Youchien Dream Theme Remix,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2021
I Think Because You Do,CDR,Electronic / Dance,Drums,2014
BLUE BLUE BLUE,CDR,Electronic / Dance,Drums,2014
"Dont Feel, Think",CDR,Electronic / Dance,Drums,2014
Girl Loves Girl,Dj Bamberino,Electronic / Dance,Drums,2021
Ghetto Messiah,RMS,Electronic / Dance,Drums,2016
My Soul,Confusious,Electronic / Dance,Drums,2019
Run the Border,Evade,Electronic / Dance,Vocals / Lyrics,2019
This Is False Reizokocore,･ﾟ✧​(​=​✪ ᆺ ✪​=​) - ･ﾟ✧,Electronic / Dance,Drums,2022
This One Goes Downhill Fast Sorry,･ﾟ✧​(​=​✪ ᆺ ✪​=​) - ･ﾟ✧,Electronic / Dance,Drums,2022
Badman Nuh Test,Lavery,Electronic / Dance,Drums,2017
Motion Sickness (Downtown Mix),Persons Unknown,Electronic / Dance,Drums,2020
The Love You Give,Lavery,Electronic / Dance,Drums,2017
New Bust,Amen Andrews,Electronic / Dance,Drums,2020
Danger,Riffz,Electronic / Dance,Drums,2019
Don't Tell Nobody,Riffz,Electronic / Dance,Drums,2015
Junglist Days,S.Kid,Electronic / Dance,Drums,2017
Weak Soundboy Suicide,Riffz,Electronic / Dance,Drums,2019
Dreamer '95,S.Kid,Electronic / Dance,Drums,2017
Love Todd 19,Cycheouts Ghost,Electronic / Dance,Multiple Elements,2019
The Future Was Here,Msymiakos,Electronic / Dance,Drums,2014
Timestretcha,Msymiakos,Electronic / Dance,Drums,2015
Get Down,Crew 7,Hip-Hop / Rap / R&B,Multiple Elements,2010
Get Down,Young Sixx,Hip-Hop / Rap / R&B,Multiple Elements,2010
NyanCatFredOrange,Chaosmond,Electronic / Dance,Drums,2019
On My Mind VIP,DJ Stretch,Electronic / Dance,Drums,2016
On My Mind VIP,Skitty,Electronic / Dance,Drums,2016
Obligatory Microtrack Minimix,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2021
Bantha Dreams,Tusken Raiders,Electronic / Dance,Drums,2020
Reckless,Sumone,Electronic / Dance,Drums,2004
Party,The Boys From the Bottom,Hip-Hop / Rap / R&B,Multiple Elements,1992
Untitled (A1),Mind Therapy,Electronic / Dance,Drums,1994
Untitled (B2),Tomba (2),Electronic / Dance,Drums,1994
Quien Soy,Lo' Pibitos,Hip-Hop / Rap / R&B,Vocals / Lyrics,2018
Quien Soy,DJ Baladi,Hip-Hop / Rap / R&B,Vocals / Lyrics,2018
Quien Soy,ABRE,Hip-Hop / Rap / R&B,Vocals / Lyrics,2018
Shimmy No. 1,Ras Kwame,Electronic / Dance,Vocals / Lyrics,2001
Pump This Party,Freakin' Fonz,Electronic / Dance,Drums,1997
Unless,μ-Ziq,Electronic / Dance,Drums,2022
Don't Tell Me (It's Ending),μ-Ziq,Electronic / Dance,Drums,2022
Missing the 90's,Msymiakos,Electronic / Dance,Drums,2019
Chords From the Past,Msymiakos,Electronic / Dance,Drums,2019
Here With Me,Conrad Subs,Electronic / Dance,Drums,2020
Get Sorted,Lock Jaw,Electronic / Dance,Drums,1994
Sour Track,Wizard Glue,Electronic / Dance,Drums,2016
Trendy Core #13,Passenger of Shit,Electronic / Dance,Drums,2007
Trendy Core #13,Virya Dadura Vamana,Electronic / Dance,Drums,2007
Drum Shanty,Dead Man's Chest,Electronic / Dance,Drums,2019
Jimmy (Lavery's 93 Remix),Missing,Electronic / Dance,Drums,2020
Ramble & Ruin,Shit and Cheap,Electronic / Dance,Drums,2020
Arcaderave,Bobby Freeform,Electronic / Dance,Multiple Elements,2021
Tell Me,Lavery,Electronic / Dance,Drums,2017
Funky Flute,Lavery,Electronic / Dance,Drums,2017
Mind Control,Lavery,Electronic / Dance,Drums,2017
Can I Get an Amen,Lavery,Electronic / Dance,Drums,2017
It's Like,Drama1,Electronic / Dance,Drums,2020
UK Swampcore Sucks in Comparison to Techstep New Wave Psy-Jungle,Shitmat,Electronic / Dance,Drums,2004
Que Xushia,Camarrada,World / Latin,Vocals / Lyrics,2000
I Wanna Rock (Techno-Bass Mix),Luke,Hip-Hop / Rap / R&B,Multiple Elements,1991
GST Separate,Fiesta Soundsystem,Electronic / Dance,Drums,2020
The Jungle,Dub-Liner,Electronic / Dance,Drums,2020
Southside,Stagga,Electronic / Dance,Drums,2020
Stay,Demented Soul,Electronic / Dance,Drums,2016
VbassVsamplePOSub (Live Lap&table Mix),Blonie,Electronic / Dance,Drums,2018
Kyaripa Mix 3,CDR,Electronic / Dance,Drums,2013
I Don't Like Sunday Ends (･ﾟ✧​(​=​✪ ᆺ ✪​=​) - ･ﾟ✧ Remix),･ﾟ✧​(​=​✪ ᆺ ✪​=​) - ･ﾟ✧,Electronic / Dance,Drums,2022
PLUR,Simply Dread,Electronic / Dance,Drums,2017
Jump,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2021
Obligatory Microtrack Megaminimix (41 Trax),･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2021
Reizoko CJ Weeps,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2021
Boys With Illness,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2021
Heart Eyes Forever,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
2D Rave Fantasy I,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2021
"Generic Speedcore Track #5287 (Another Day, Another Gigi Sample)",･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2021
Untitled 80,Dxm Fairy,Electronic / Dance,Drums,2020
Pyongyang Dancecore,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Vocals / Lyrics,2021
Thinking of You,CDR,Electronic / Dance,Drums,2014
Basement Dweller's Lament [Hopes&&dreams],･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2021
Go Tell Someone That You Love Them,Witchlift,Electronic / Dance,Drums,2020
We Rewind,Yosh,Electronic / Dance,Drums,2020
People of the Universe,Higher Sense,Electronic / Dance,Drums,1994
The Problem,Lavery,Electronic / Dance,Drums,2017
Vanity,Drama1,Electronic / Dance,Drums,2020
Troublez,Riffz,Electronic / Dance,Drums,2019
Midnight Tease (Instrumental),Horsepower Productions,Electronic / Dance,Drums,2011
Amen-Kun,Shoebill,Electronic / Dance,Drums,2020
Microphone Checker,Eko Fresh,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
Microphone Checker,G-Style,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
Dubplate Special,MC Det,Electronic / Dance,Drums,2020
N64,Riffz,Electronic / Dance,Drums,2020
Away With the Fairies,Fiesta Soundsystem,Electronic / Dance,Drums,2020
Altered States,Fushara,Electronic / Dance,Drums,2019
Gunshot,Dub-Liner,Electronic / Dance,Drums,2020
Screwface Dubplate,Dub-Liner,Electronic / Dance,Drums,2020
Lion Awakes,Aeon Four,Electronic / Dance,Drums,2020
Battle Stations,Drumskull,Electronic / Dance,Drums,2020
Raiderz Skank,Tusken Raiders,Electronic / Dance,Drums,2020
Lethal,David Louis,Electronic / Dance,Drums,2017
Lethal,Stranjah,Electronic / Dance,Drums,2017
Don't Look Back,Red Ant,Electronic / Dance,Drums,1993
Untitled (A2),Mind Therapy,Electronic / Dance,Drums,1994
You Are Not Ready (Bazooka Remix),Aggroman,Electronic / Dance,Multiple Elements,2006
You Are Not Ready (Bazooka Remix),Bazooka (Jungle & Hardcore),Electronic / Dance,Multiple Elements,2006
Untitled,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2021
Lower,Amen Andrews,Electronic / Dance,Drums,2020
Sirius,Amen Andrews,Electronic / Dance,Drums,2020
Strange,Amen Andrews,Electronic / Dance,Drums,2020
Thinrider,Amen Andrews,Electronic / Dance,Drums,2003
Mashup Cancer,Sumone,Electronic / Dance,Drums,2005
Mashup Cancer,Obookubo,Electronic / Dance,Drums,2005
Den Nah Clash,Jahba,Electronic / Dance,Drums,2004
We Are the Universe,Daddy K,Electronic / Dance,Multiple Elements,2020
We Are the Universe,P.A.F.F.,Electronic / Dance,Multiple Elements,2020
Voyage,"Billy ""Daniel"" Bunter",Electronic / Dance,Drums,1995
Voyage,J.D.S.,Electronic / Dance,Drums,1995
4:00 AM,Minus 8,Electronic / Dance,Drums,1997
Тоннун даа,Күннэй,Rock / Pop,Multiple Elements,2017
Total Domination,DJ Infinity & the Basics,Electronic / Dance,Drums,1994
Fly by Night (Do It Mix),The Funk Lab,Hip-Hop / Rap / R&B,Multiple Elements,1997
The End of Everything,DJ Sailor Moon,Electronic / Dance,Multiple Elements,2013
Octagon,T.Power,Electronic / Dance,Drums,1995
Badboys and Police,General Malice,Electronic / Dance,Drums,2015
The Fiend,Jahganaut,Electronic / Dance,Drums,2018
South Side (Riffin Mix),Dillinja,Electronic / Dance,Drums,1994
Going Back in Time to a 90s Rave So I Can Stand in the Corner and Want to Go...,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
Unlock Warm,Weasel_82,Electronic / Dance,Drums,2014
Pump Up the Volume!,E-Rick & Tactic,Electronic / Dance,Multiple Elements,1995
Roll Out,Lavery,Electronic / Dance,Drums,2017
Come Back,DJ H,Electronic / Dance,Drums,2020
The Zone,Lavery,Electronic / Dance,Drums,2020
I Am Sinistar,DJ Skye,Electronic / Dance,Drums,2020
Revolution,DJ Skye,Electronic / Dance,Drums,2020
Feel Da Heat,ARX,Electronic / Dance,Drums,2001
Sunshine,BC Rydah,Electronic / Dance,Drums,2020
KD4,Splitch,Electronic / Dance,Drums,2020
Negative 7,Drumskull,Electronic / Dance,Drums,2020
Touchback,FlexE,Electronic / Dance,Drums,2004
Oriental Sunrise,RJ (Jungle Producer),Electronic / Dance,Drums,1994
I Love Your Smile (Superspeedo Vrs),Speedmaster,Electronic / Dance,Drums,2006
I Love Your Smile (Superspeedo Vrs),Angelica,Electronic / Dance,Drums,2006
The Sound,Dub-Liner,Electronic / Dance,Drums,2020
Everyday,Red Ant,Electronic / Dance,Drums,1993
The Throbbing Dick,Passenger of Shit,Electronic / Dance,Drums,2011
The Throbbing Dick,Virya Dadura Vamana,Electronic / Dance,Drums,2011
Venga Babylon,Shitmat,Electronic / Dance,Vocals / Lyrics,2016
Studio 2,Studio 2,Electronic / Dance,Drums,1994
Tornado,Junglord,Electronic / Dance,Drums,2017
Return to Swanborough,Ilk,Electronic / Dance,Drums,2017
Sleepers,The Last Ronin,Electronic / Dance,Drums,2021
Werk,Sully,Electronic / Dance,Multiple Elements,2020
Astolfo Boutta Catch This Dick,Shoebill,Electronic / Dance,Drums,2019
Glass Pipe Fury,DJ Exodus,Electronic / Dance,Drums,1994
Glass Pipe Fury,Head Pressure,Electronic / Dance,Drums,1994
Nineteen,Fangs,Electronic / Dance,Drums,2022
F,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
Goodbye,μ-Ziq,Electronic / Dance,Drums,2022
Pave,Britt Nicole,Rock / Pop,Vocals / Lyrics,2016
Affairs,Lavery,Electronic / Dance,Drums,2016
Klanger,Persons Unknown,Electronic / Dance,Drums,2020
Downcast Gaze,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
Suicide by Cop,Lolicoin,Electronic / Dance,Drums,2018
Sweetest Dreams,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2021
My Only Friend; Fluttering Insect,Small Mistake,Electronic / Dance,Drums,2022
Playing Games,M27 Hardcore Junglist,Electronic / Dance,Drums,2017
Back Tha Funk,Riffz,Electronic / Dance,Drums,2019
Je T'Aime (Switch Remix),Armand Van Helden,Electronic / Dance,Drums,2007
Get With This,Happy Raver,Electronic / Dance,Drums,1996
Make My Body Move,Happy Raver,Electronic / Dance,Multiple Elements,1996
Da Serpent Riddim,Smiley Maxx,Electronic / Dance,Drums,2014
Waterworks!,Detox & the Mighty Atom,Electronic / Dance,Drums,1994
Heavyweight Slice,Conrad Subs,Electronic / Dance,Drums,2020
Quiet,Dub-Liner,Electronic / Dance,Drums,2017
Control Yourself,Amazon II,Electronic / Dance,Drums,1994
Moshit Attack,Bandlez,Electronic / Dance,Multiple Elements,2021
Protection (DJ Narcs Remix),DannyLO,Electronic / Dance,Drums,2012
Better Breaks,Amen Andrews,Electronic / Dance,Drums,2020
Ready Again,Amen Andrews,Electronic / Dance,Drums,2020
Step Off,Storm Crew,Electronic / Dance,Multiple Elements,1997
Pressurous,Majistrate,Electronic / Dance,Drums,1994
On a High (Vol.1),DJ Morph,Electronic / Dance,Drums,1995
Effervescence,Parallax,Electronic / Dance,Multiple Elements,1997
Real Love,Ricky Force,Electronic / Dance,Drums,2016
Angel Wings (Tears Only),･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
Cats in the Dance,Tommy the Cat,Electronic / Dance,Drums,2019
Nebulous (LMajor Remix),Skin Teeth,Electronic / Dance,Drums,2020
Mad Dem,Feyder,Electronic / Dance,Drums,2012
Summer Breeze,Tek 9,Electronic / Dance,Drums,1994
Crying on My Face,DJ Sailor Moon,Electronic / Dance,Multiple Elements,2013
Drive By,Mindscape,Electronic / Dance,Drums,2011
Mellow Yellow,Blade (Drum & Bass),Electronic / Dance,Drums,2020
Concussion,Thugwidow,Electronic / Dance,Drums,2020
One of Many,Default (Jungle),Electronic / Dance,Drums,2015
One of Many,Tropmanga,Electronic / Dance,Drums,2015
Flyin' (Default RMX),DJ K (Jungle),Electronic / Dance,Drums,2015
Interference,Fearful,Electronic / Dance,Drums,2018
Ten Stomp,DannyLO,Electronic / Dance,Drums,2013
Boom,Skanx,Electronic / Dance,Drums,2013
You Can't Hide Your Breaks,My Kill Jack's On,Electronic / Dance,Multiple Elements,2003
All My Love,BMotion,Electronic / Dance,Multiple Elements,2014
Thanks for Coming,Wardown,Electronic / Dance,Drums,2020
Dub Dread,Mad Professor,Reggae / Dub,Multiple Elements,2000
Dub Dread,"Lee ""Scratch"" Perry",Reggae / Dub,Multiple Elements,2000
Who Is This,Junglistic,Electronic / Dance,Drums,2013
Hand in the Fire,Hooverian Blur,Electronic / Dance,Drums,2019
We Are Not,DJ Future,Electronic / Dance,Drums,2017
Hard to Say,Max McFerren,Electronic / Dance,Multiple Elements,2015
Murda Style,Kid Lib,Electronic / Dance,Drums,2011
Shimazu Clan,Acid Lab,Electronic / Dance,Drums,2019
Now That's What I Call Breakcore! Vol. II,Ecchi-Chan,Electronic / Dance,Drums,2012
Harmonies,Lavery,Electronic / Dance,Drums,2020
Lose Control,Lavery,Electronic / Dance,Drums,2017
Throw Ya Hands,DJ Glenn B,Electronic / Dance,Vocals / Lyrics,2003
Throw Ya Hands,MC Tomster,Electronic / Dance,Vocals / Lyrics,2003
Deep Into the Jungle,Coco Bryce,Electronic / Dance,Drums,2020
Activate,Nino Brown (Drum and Bass),Electronic / Dance,Drums,1996
The Phone Never Rings for Good News,Thugwidow,Electronic / Dance,Drums,2019
Anything,FFF (2),Electronic / Dance,Drums,2019
Anything,Dub-Liner,Electronic / Dance,Drums,2019
Rubber Track,Coco Bryce,Electronic / Dance,Drums,2016
Jammed the Radar,Tekscape,Electronic / Dance,Multiple Elements,2022
Eddy,Eliphino,Electronic / Dance,Drums,2020
I Want to Die,DJ Sailor Moon,Electronic / Dance,Drums,2013
Hoje é O Dia + Feliz Da Minha Vida,Expensive Soul,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
Drug People,16AJ,Electronic / Dance,Drums,2015
Starving Myself for My Cardboard Cutout Anime Girl (･ﾟ✧​(​=​✪ ᆺ ✪​=​) - ･ﾟ✧ Rmx),･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
Work This Pussy,Steve Twain,Electronic / Dance,Multiple Elements,2005
1 Million & 1 (Intro to Struggle),Sean Brown,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
Mystic Dub,The Last Ronin,Electronic / Dance,Drums,2021
Sky,Dillinja,Electronic / Dance,Drums,1995
I'll Put Up,&She Gets It,Electronic / Dance,Drums,2020
Watch 'N Me,I.S.P.,Hip-Hop / Rap / R&B,Multiple Elements,1992
Planet Urf,Smiley Maxx,Electronic / Dance,Multiple Elements,2013
Sensual Data,The Flashbulb,Electronic / Dance,Multiple Elements,2004
Stumps,DJ Smurf (Gabber Producer),Electronic / Dance,Multiple Elements,2012
Have a Think,OverworX,Electronic / Dance,Drums,2020
Gone,Harry Craze,Electronic / Dance,Multiple Elements,2010
Throwing Shades,Dead Man's Chest,Electronic / Dance,Multiple Elements,2017
Education,Private Productions,Electronic / Dance,Drums,2008
What's My Name,Richard Grey,Electronic / Dance,Multiple Elements,2018
Draw Step,Verb,Electronic / Dance,Drums,2011
Draw Step,Bigga D,Electronic / Dance,Drums,2011
Searchin,Specialist X,Electronic / Dance,Multiple Elements,2016
Dub Foundation,Hyperon,Electronic / Dance,Drums,2020
The Blue Hour,Nolige,Electronic / Dance,Drums,2020
Take Your Time,Madcap,Electronic / Dance,Drums,2019
RAW,Dub-Liner,Electronic / Dance,Drums,2020
Mirror Image,Technimatic,Electronic / Dance,Vocals / Lyrics,2013
Turquoise Hyperfizz,μ-Ziq,Electronic / Dance,Drums,2022
Alchemy,Fission,Electronic / Dance,Vocals / Lyrics,2011
The Sacrifice,Lavery,Electronic / Dance,Drums,2019
A Cluster of Angry Repeating Thoughts,Thugwidow,Electronic / Dance,Drums,2019
Loveless,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,2022
Hitting Every Rock on the Way Down to Hell,Sam Fauchon,Electronic / Dance,Drums,2022
The Return of Shaft,1.8.7,Electronic / Dance,Drums,1998
Dr Hesslein,Persian,Electronic / Dance,Drums,2018
Final Chapta (Rollers Mix),DJ Trace,Electronic / Dance,Drums,1995
Gun Talk,T-Cuts,Electronic / Dance,Drums,2020
Gun Talk,General T.K.,Electronic / Dance,Drums,2020
Saturday Night (Oddball Mix),M27 Hardcore Junglist,Electronic / Dance,Drums,2020
Big L,Amen Andrews,Electronic / Dance,Drums,2020
Bad Boy Acid,Amen Andrews,Electronic / Dance,Drums,2020
Avlon,DJ Jubilee 1997,Electronic / Dance,Drums,2020
Hell Down Here,Keith Masters,Hip-Hop / Rap / R&B,Vocals / Lyrics,2007
Lord Chamberlain,Creep Woland,Electronic / Dance,Drums,2020
Chemicals,Da' Demolition,Electronic / Dance,Drums,1996
Motif,Overlook,Electronic / Dance,Drums,2016
Misty,Overlook,Electronic / Dance,Drums,2016
Laniakea,Briain,Electronic / Dance,Drums,2019
I RECOMMEND MOVING BEHIND MY BARRIER,4lung,Electronic / Dance,Drums,2017
Fallen (Echo Inada Bootleg),Echo Inada,Electronic / Dance,Multiple Elements,2013
Running So Hard,Sophia,Electronic / Dance,Multiple Elements,1992
We Could Have Had Brunch (Goldefish's Breaks for Brunch Remix),Dare Balogun,Electronic / Dance,Drums,2019
Moonlight,Goldefish,Electronic / Dance,Drums,2019
Junglist Gal,Kid Lib,Electronic / Dance,Drums,2013
Top Buzz,Beat Rapist,Electronic / Dance,Drums,2013
Bang (Cosby Remix),Vjuan Allure,Electronic / Dance,Drums,2015
Unregistered Hypercam 2,Farquaad,Electronic / Dance,Drums,2019
Irie Feelings,2Brainz,Electronic / Dance,Drums,2014
Visions '96,Suburban Architecture,Electronic / Dance,Drums,2019
