Full Title,Artist,Genre,Instrument,Year
"Help Me (A Quest 4 Peace 12"")",Sly T & Ollie J,Electronic / Dance,Drums,by Sly T & Ollie J feat. Jody (Hardcore Singer) (1992)
"Help Me (A Quest 4 Peace 12"")",Jody (Hardcore Singer),Electronic / Dance,Drums,by Sly T & Ollie J feat. Jody (Hardcore Singer) (1992)
Pré-Definições,Da Weasel,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Da Weasel (2004)
5th Ward,Willie D,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Willie D (1989)
I'm Back,Super Lover Cee & Casanova Rud,Hip-Hop / Rap / R&B,Multiple Elements,by Super Lover Cee & Casanova Rud (1988)
Heartbreaks,Terror Jr,Rock / Pop,Drums,by Terror Jr (2016)
Balcony,Rome Fortune,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Rome Fortune (2013)
Acid 2000,Luke Vibert,Electronic / Dance,Drums,by Luke Vibert (2002)
"Fuck Mixing, Let's Dance",Zomby,Electronic / Dance,Drums,by Zomby (2008)
Heath Town,Bibio,Electronic / Dance,Drums,by Bibio (2016)
Daylight,Roni Size,Electronic / Dance,Drums,by Roni Size (1995)
This House,Tracie Spencer,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Tracie Spencer (1990)
Give Me Your Love,Part-E,Electronic / Dance,Vocals / Lyrics,by Part-E (1992)
I Really Love You,Keith Sweat,Hip-Hop / Rap / R&B,Multiple Elements,by Keith Sweat (1991)
Optech,Icicle,Electronic / Dance,Drums,by Icicle (2018)
Keep On,Mella Dee,Electronic / Dance,Drums,by Mella Dee (2015)
Raise Ya Hands Up (Uh Oh),DJ BoozyWoozy,Electronic / Dance,Drums,by DJ BoozyWoozy (2003)
Do You Speak Martien ?,DJ Daddy K,Hip-Hop / Rap / R&B,Vocals / Lyrics,by DJ Daddy K (1991)
But I Wanna See It All With You!,Omori,Soundtrack / Library,Drums,by Omori (2020)
See Sea,HyoLyn,Rock / Pop,Vocals / Lyrics,by HyoLyn (2018)
"The Place, 1997",Yoshie Arakawa,Soundtrack / Library,Drums,by Yoshie Arakawa (1996)
Bad Influence,Poison Clan,Hip-Hop / Rap / R&B,Drums,by Poison Clan (1990)
Heart's a Mess (Electro-Baltimore Club Mix),Gotye,Electronic / Dance,Drums,by Gotye (2007)
Massif (Stay Strong),Squarepusher,Electronic / Dance,Drums,by Squarepusher (1997)
One's N Two's,DJ Swagger,Electronic / Dance,Multiple Elements,by DJ Swagger (2017)
Sweet Vibrations,DMS,Electronic / Dance,Drums,by DMS and The Boneman X (1994)
Sweet Vibrations,The Boneman X,Electronic / Dance,Drums,by DMS and The Boneman X (1994)
Young Star Cluster,Lone,Electronic / Dance,Drums,by Lone (2019)
Simple 'Tings,Shy FX,Electronic / Dance,Drums,by Shy FX (1995)
Wretched,Paris,Hip-Hop / Rap / R&B,Drums,by Paris (1989)
Caught in the Middle (Love & Life),DJ Jazzy Jeff & the Fresh Prince,Hip-Hop / Rap / R&B,Vocals / Lyrics,by DJ Jazzy Jeff & the Fresh Prince (1991)
Get Into It,Tony Scott,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Tony Scott (1989)
Spectre,Aquasky,Electronic / Dance,Vocals / Lyrics,by Aquasky (2001)
Stay Out All Night,Radio Slave,Electronic / Dance,Drums,by Radio Slave (2020)
Radio,Diljit Dosanjh,World / Latin,Vocals / Lyrics,by Diljit Dosanjh and Tru-Skool (2012)
Radio,Tru-Skool,World / Latin,Vocals / Lyrics,by Diljit Dosanjh and Tru-Skool (2012)
Inhuman Nature (人間失格 Pt.II),四街道ネイチャー,Hip-Hop / Rap / R&B,Vocals / Lyrics,by 四街道ネイチャー (1998)
Down to Earth,Insomnia,Electronic / Dance,Multiple Elements,by Insomnia (1992)
Funk a Size,Dee Nasty,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Dee Nasty (1990)
Tracks 2-25,Norman Cook,Other,Multiple Elements,by Norman Cook (1992)
1949,Honey & Badger,Electronic / Dance,Vocals / Lyrics,by Honey & Badger and OOTORO (2023)
1949,OOTORO,Electronic / Dance,Vocals / Lyrics,by Honey & Badger and OOTORO (2023)
Soundboy Killer,Special Request,Electronic / Dance,Drums,by Special Request (2013)
Kickin' in the Beat,Pamela Fernandez,Electronic / Dance,Drums,by Pamela Fernandez (1992)
Freewill (Phase β),Machine Girl,Electronic / Dance,Drums,by Machine Girl (2014)
I Get Wrecked,Tim Dog,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Tim Dog feat. KRS-One (1993)
I Get Wrecked,KRS-One,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Tim Dog feat. KRS-One (1993)
Unforgettable (Promnite & Juelz Remix),French Montana,Electronic / Dance,Multiple Elements,by French Montana feat. Swae Lee (2017)
Unforgettable (Promnite & Juelz Remix),Swae Lee,Electronic / Dance,Multiple Elements,by French Montana feat. Swae Lee (2017)
Hyperactive,Phase N' Rhythm,Hip-Hop / Rap / R&B,Drums,by Phase N' Rhythm (1988)
Drop the Bass,DJ Seduction,Electronic / Dance,Drums,by DJ Seduction (1994)
Everybody to the Limit,Strong Bad,Other,Vocals / Lyrics,by Strong Bad (2002)
Helter Skelter,Tessela,Electronic / Dance,Drums,by Tessela (2013)
Drop That Bass,Lucky Charmes,Electronic / Dance,Drums,by Lucky Charmes (2015)
Purpan,Halogenix,Electronic / Dance,Multiple Elements,by Halogenix and Lordel (2019)
Purpan,Lordel,Electronic / Dance,Multiple Elements,by Halogenix and Lordel (2019)
Smack and Snack,Pogo,Electronic / Dance,Multiple Elements,by Pogo (2016)
Marijuana,Kambo Don,Electronic / Dance,Drums,by Kambo Don (2010)
Butt Botty Naked,AMG,Hip-Hop / Rap / R&B,Vocals / Lyrics,by AMG (1995)
Dance to the Beat,Masterboy,Electronic / Dance,Vocals / Lyrics,by Masterboy (1990)
My Part of Town (Remix),Tuff Crew,Hip-Hop / Rap / R&B,Hook / Riff,by Tuff Crew (1988)
Jesus Is Just Alright,DC Talk,Gospel,Vocals / Lyrics,by DC Talk (1992)
Seek and Destroy,Ghetto Boys,Hip-Hop / Rap / R&B,Multiple Elements,by Ghetto Boys (1989)
Roll the Drums,High Octane,Electronic / Dance,Vocals / Lyrics,by High Octane (1993)
Wolfpack,TĀLĀ,Electronic / Dance,Drums,by TĀLĀ feat. Banks (2015)
Wolfpack,Banks,Electronic / Dance,Drums,by TĀLĀ feat. Banks (2015)
Emotional (Draper Remix),Flux Pavilion,Electronic / Dance,Multiple Elements,by Flux Pavilion and Matthew Koma (2016)
Emotional (Draper Remix),Matthew Koma,Electronic / Dance,Multiple Elements,by Flux Pavilion and Matthew Koma (2016)
Turiya (Tessela Remix),DjRum,Electronic / Dance,Drums,by DjRum (2012)
Traveling at the Speed of Thought (Hip-House Club Mix),Ultramagnetic MC's,Hip-Hop / Rap / R&B,Multiple Elements,by Ultramagnetic MC's (1989)
Rock This World,Drivin' Force,Electronic / Dance,Vocals / Lyrics,by Drivin' Force (1988)
Let's Go (Tyree's Gone Mix),Fast Eddie,Electronic / Dance,Multiple Elements,by Fast Eddie (1988)
$5 Steak,Bliss N Eso,Hip-Hop / Rap / R&B,Drums,by Bliss N Eso (2008)
Nobody Else,Sharda,Electronic / Dance,Drums,by Sharda feat. Gemma Dunleavy (2018)
Nobody Else,Gemma Dunleavy,Electronic / Dance,Drums,by Sharda feat. Gemma Dunleavy (2018)
Codein Takin' Hell,DJ Yung Vamp,Hip-Hop / Rap / R&B,Vocals / Lyrics,by DJ Yung Vamp (2017)
What Is a DJ?,S3RL,Electronic / Dance,Multiple Elements,by S3RL feat. Jimni Cricket (2018)
What Is a DJ?,Jimni Cricket,Electronic / Dance,Multiple Elements,by S3RL feat. Jimni Cricket (2018)
The BOYS (Theme Song),Tokyo Machine,Electronic / Dance,Vocals / Lyrics,by Tokyo Machine (2021)
Words of a Freestyle,MC Shan,Hip-Hop / Rap / R&B,Drums,by MC Shan (1988)
So Damn Tough,Rhythm Mode:D,Electronic / Dance,Vocals / Lyrics,by Rhythm Mode:D (1988)
Ghetto Body Buddy,Venetian Snares,Electronic / Dance,Drums,by Venetian Snares (2003)
PLAY THAT,PKCZ,Hip-Hop / Rap / R&B,Multiple Elements,"by PKCZ feat. Hiroomi Tosaka, Crystal Kay and Crazyboy (2017)"
PLAY THAT,Hiroomi Tosaka,Hip-Hop / Rap / R&B,Multiple Elements,"by PKCZ feat. Hiroomi Tosaka, Crystal Kay and Crazyboy (2017)"
PLAY THAT,Crystal Kay,Hip-Hop / Rap / R&B,Multiple Elements,"by PKCZ feat. Hiroomi Tosaka, Crystal Kay and Crazyboy (2017)"
PLAY THAT,Crazyboy,Hip-Hop / Rap / R&B,Multiple Elements,"by PKCZ feat. Hiroomi Tosaka, Crystal Kay and Crazyboy (2017)"
Let Me See You,Octo Octa,Electronic / Dance,Multiple Elements,by Octo Octa (2011)
Foehn,June Chikuma,Soundtrack / Library,Drums,by June Chikuma (1998)
Billy Bathgate,Godfather Don,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Godfather Don (2009)
Definition of a Track (Definition of a Rap),Precious,Hip-Hop / Rap / R&B,Drums,by Precious (1989)
Pay Me,Veronica Vega,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Veronica Vega (2015)
Hardcore Hip House (Double Trouble Mix),Tyree,Electronic / Dance,Multiple Elements,by Tyree (1989)
Can't Say No (Lenzman Remix),BCee,Electronic / Dance,Drums,by BCee and Lomax (2008)
Can't Say No (Lenzman Remix),Lomax,Electronic / Dance,Drums,by BCee and Lomax (2008)
Dance (The Mega-Diss),MC Player,Hip-Hop / Rap / R&B,Drums,by MC Player (1988)
Moving With You,Netsky,Electronic / Dance,Multiple Elements,by Netsky feat. Jenna G (2010)
Moving With You,Jenna G,Electronic / Dance,Multiple Elements,by Netsky feat. Jenna G (2010)
Burn the Witch,LSDXOXO,Electronic / Dance,Drums,by LSDXOXO (2018)
Never Be Your Woman (Shy FX Radio Edit),Wiley,Electronic / Dance,Multiple Elements,by Wiley feat. Emeli Sandé (2010)
Never Be Your Woman (Shy FX Radio Edit),Emeli Sandé,Electronic / Dance,Multiple Elements,by Wiley feat. Emeli Sandé (2010)
Do You Love What You Feel (Wilson's Hit House Mix),Inner City,Electronic / Dance,Multiple Elements,by Inner City (1989)
U Are My Fantasy (Street Fighter II Theme Remix),Zomby,Electronic / Dance,Drums,by Zomby (2008)
She's Bad,MC Malika Love,Hip-Hop / Rap / R&B,Multiple Elements,by MC Malika Love (1988)
Retreat2018,Chase & Status,Electronic / Dance,Drums,by Chase & Status feat. Cutty Ranks (2018)
Retreat2018,Cutty Ranks,Electronic / Dance,Drums,by Chase & Status feat. Cutty Ranks (2018)
Need You,DJ Ink,Electronic / Dance,Drums,by DJ Ink feat. Dylan (2001)
Need You,Dylan,Electronic / Dance,Drums,by DJ Ink feat. Dylan (2001)
Fused Into Music,Luke Vibert,Electronic / Dance,Drums,by Luke Vibert (1997)
Naturally,Top Billin',Hip-Hop / Rap / R&B,Drums,by Top Billin' (1988)
Rice Rain (DJ Rell Remix),DJ Rell,Electronic / Dance,Drums,by DJ Rell (2014)
We Could Be Together (House Mix),Debbie Gibson,Rock / Pop,Drums,by Debbie Gibson (1989)
Aridia - Saving Skidd McMarx,David Bergeaud,Soundtrack / Library,Drums,by David Bergeaud (2002)
Work It Out (Extended Remix),"Steve ""Silk"" Hurley",Electronic / Dance,Drums,"by Steve ""Silk"" Hurley feat. M. Doc (1989)"
Work It Out (Extended Remix),M. Doc,Electronic / Dance,Drums,"by Steve ""Silk"" Hurley feat. M. Doc (1989)"
La Tension Monte,IAM,Hip-Hop / Rap / R&B,Multiple Elements,by IAM (1991)
Don't Hold Back!,The Blapps Posse,Electronic / Dance,Multiple Elements,by The Blapps Posse (1990)
Italian Spiderman,Napt,Electronic / Dance,Vocals / Lyrics,by Napt feat. Fire Flowerz (2012)
Italian Spiderman,Fire Flowerz,Electronic / Dance,Vocals / Lyrics,by Napt feat. Fire Flowerz (2012)
F the Disco,Cavi,Soul / Funk / Disco,Multiple Elements,by Cavi (2020)
Never Before,Fox Stevenson,Electronic / Dance,Drums,by Fox Stevenson (2018)
En I Mana Mou Pou Ftaiei,Kostas Violaris,Rock / Pop,Multiple Elements,by Kostas Violaris (1991)
Corrosive,Millie,Electronic / Dance,Drums,by Millie and Andrea (2014)
Corrosive,Andrea,Electronic / Dance,Drums,by Millie and Andrea (2014)
Gotta Have House,Shinichiro Yokota,Electronic / Dance,Multiple Elements,by Shinichiro Yokota (2016)
Heat It Up,Wee Papa Girl Rappers,Electronic / Dance,Vocals / Lyrics,by Wee Papa Girl Rappers (1988)
Finest Illusion,Foul Play,Electronic / Dance,Drums,by Foul Play (1993)
Shake It Up,The Jamaica Boys,Hip-Hop / Rap / R&B,Vocals / Lyrics,by The Jamaica Boys (1990)
Pallas Athena,David Bowie,Rock / Pop,Hook / Riff,by David Bowie (1993)
Take Me Back to Your House (Balti Skool Mix),Basement Jaxx,Electronic / Dance,Drums,by Basement Jaxx (2006)
Sorry I Make You Lush,Wagon Christ,Electronic / Dance,Drums,by Wagon Christ (2004)
Love & Hapiness,Marcus Intalex,Electronic / Dance,Drums,by Marcus Intalex and ST Files (2001)
Love & Hapiness,ST Files,Electronic / Dance,Drums,by Marcus Intalex and ST Files (2001)
"In the Closet (Ki's 12"")",Michael Jackson,Hip-Hop / Rap / R&B,Drums,by Michael Jackson (1991)
Suona Ancora,Neffa,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Neffa feat. Elise, DJ Double S and DJ Stile (1998)"
Suona Ancora,Elise,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Neffa feat. Elise, DJ Double S and DJ Stile (1998)"
Suona Ancora,DJ Double S,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Neffa feat. Elise, DJ Double S and DJ Stile (1998)"
Suona Ancora,DJ Stile,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Neffa feat. Elise, DJ Double S and DJ Stile (1998)"
We Gonna Use What We Got,Kolombo,Electronic / Dance,Vocals / Lyrics,by Kolombo and Loulou Players (2011)
We Gonna Use What We Got,Loulou Players,Electronic / Dance,Vocals / Lyrics,by Kolombo and Loulou Players (2011)
Deadly Deep Subs,Dillinja,Electronic / Dance,Drums,by Dillinja (1994)
Walking Blues,LSB,Electronic / Dance,Drums,by LSB (2015)
HouseParty 1 (Vhs Bootleg Version),Ras G,Hip-Hop / Rap / R&B,Multiple Elements,by Ras G (2013)
Natural Suction,Wagon Christ,Electronic / Dance,Multiple Elements,by Wagon Christ (2001)
Rock U Tonight (CRNKN Remix),Wave Racer,Electronic / Dance,Vocals / Lyrics,by Wave Racer (2013)
War,Junkie XL,Electronic / Dance,Multiple Elements,by Junkie XL (1997)
Flipside,Juvenile Committee,Hip-Hop / Rap / R&B,Multiple Elements,by Juvenile Committee (1991)
Knock-N-Boots,Wreckx-N-Effect,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Wreckx-N-Effect (1992)
A L'Ancienne,Intouchable,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Intouchable feat. Boss One, Flev and Rohff (2000)"
A L'Ancienne,Boss One,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Intouchable feat. Boss One, Flev and Rohff (2000)"
A L'Ancienne,Flev,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Intouchable feat. Boss One, Flev and Rohff (2000)"
A L'Ancienne,Rohff,Hip-Hop / Rap / R&B,Vocals / Lyrics,"by Intouchable feat. Boss One, Flev and Rohff (2000)"
Rapid Fire,Amaarae,Other,Vocals / Lyrics,"by Amaarae, Cruel Santino, Shane Eagle and Tomi Agape (2018)"
Rapid Fire,Cruel Santino,Other,Vocals / Lyrics,"by Amaarae, Cruel Santino, Shane Eagle and Tomi Agape (2018)"
Rapid Fire,Shane Eagle,Other,Vocals / Lyrics,"by Amaarae, Cruel Santino, Shane Eagle and Tomi Agape (2018)"
Rapid Fire,Tomi Agape,Other,Vocals / Lyrics,"by Amaarae, Cruel Santino, Shane Eagle and Tomi Agape (2018)"
Love Is You (Stunned Guys Hardcore Mix),Happymen,Electronic / Dance,Drums,by Happymen (1996)
No More,Roni Size,Electronic / Dance,Drums,by Roni Size feat. Dynamite MC and Beverley Knight (2004)
No More,Dynamite MC,Electronic / Dance,Drums,by Roni Size feat. Dynamite MC and Beverley Knight (2004)
No More,Beverley Knight,Electronic / Dance,Drums,by Roni Size feat. Dynamite MC and Beverley Knight (2004)
Food for Thought,Eveson,Electronic / Dance,Drums,by Eveson (2009)
I Don't Wanna Go Home (Lenno Remix),Oliver Heldens,Electronic / Dance,Vocals / Lyrics,by Oliver Heldens (2016)
Elektric Dance (Hitman's House Mix),Jungle Crew,Electronic / Dance,Drums,by Jungle Crew (1989)
Acid Thunder,Fast Eddie,Electronic / Dance,Vocals / Lyrics,by Fast Eddie (1988)
Rare Plastic,PLO Man,Electronic / Dance,Multiple Elements,by PLO Man (2015)
Get Busy,Mr. Lee (Chicago House),Electronic / Dance,Vocals / Lyrics,by Mr. Lee (Chicago House) (1989)
Road Block,Biz Markie,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Biz Markie (1991)
I Feel You (Helmet at the Helm Mix),Depeche Mode,Electronic / Dance,Drums,by Depeche Mode (1993)
Shake My Ass,Top Billin,Electronic / Dance,Drums,by Top Billin (2007)
Get Up,RetroVision,Electronic / Dance,Multiple Elements,by RetroVision (2018)
On the House Tip,Marky Mark and the Funky Bunch,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Marky Mark and the Funky Bunch (1991)
I Get Down,Shad,Hip-Hop / Rap / R&B,Drums,by Shad (2006)
CHACHAしようや,DJ NHK Guy,Electronic / Dance,Vocals / Lyrics,by DJ NHK Guy (2017)
Go Away,Katy B,Electronic / Dance,Drums,by Katy B (2011)
Rave Generator,Toxic Two,Electronic / Dance,Drums,by Toxic Two (1991)
Pirates,Ron Tom,Electronic / Dance,Drums,by Ron Tom (1995)
Drive (First Mix),Dj Central,Electronic / Dance,Drums,by Dj Central and Erika Casier (2017)
Drive (First Mix),Erika Casier,Electronic / Dance,Drums,by Dj Central and Erika Casier (2017)
Trilogy of Terror,Kool G Rap & DJ Polo,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Kool G Rap & DJ Polo (1989)
We Don't Play,Freshco & Miz,Hip-Hop / Rap / R&B,Drums,by Freshco & Miz (1990)
Venus,Don Pablo's Animals,Electronic / Dance,Vocals / Lyrics,by Don Pablo's Animals (1988)
Generate Power (Wild Pitch Mix),Photon Inc.,Electronic / Dance,Drums,by Photon Inc. and Paula Brion (1991)
Generate Power (Wild Pitch Mix),Paula Brion,Electronic / Dance,Drums,by Photon Inc. and Paula Brion (1991)
Burnin Love,Critical Mass,Electronic / Dance,Drums,by Critical Mass (1995)
Shake the House,Misa,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Misa (1990)
Let Me Tell You Somethin',House 2 House,Electronic / Dance,Vocals / Lyrics,by House 2 House (1992)
Soul Promenade,Omni Trio,Electronic / Dance,Drums,by Omni Trio (1994)
Drop That,Me & My Toothbrush,Electronic / Dance,Vocals / Lyrics,by Me & My Toothbrush (2016)
Pinebee,Daisuke Tanabe,Electronic / Dance,Drums,by Daisuke Tanabe (2014)
Luv to Luv Ya,The Skeleton Krew,Electronic / Dance,Drums,by The Skeleton Krew (1992)
A Made Up Sound,Source Direct,Electronic / Dance,Drums,by Source Direct (1995)
Firin Line,Danny Breaks,Electronic / Dance,Drums,by Danny Breaks (1994)
Triple-Double No Assists,Sporting Life,Electronic / Dance,Multiple Elements,by Sporting Life (2015)
Hours (SPL Remix),Son of Kick,Electronic / Dance,Multiple Elements,by Son of Kick feat. Lady Leshurr and Paigey Cakey (2014)
Hours (SPL Remix),Lady Leshurr,Electronic / Dance,Multiple Elements,by Son of Kick feat. Lady Leshurr and Paigey Cakey (2014)
Hours (SPL Remix),Paigey Cakey,Electronic / Dance,Multiple Elements,by Son of Kick feat. Lady Leshurr and Paigey Cakey (2014)
XR2,M.I.A.,Electronic / Dance,Vocals / Lyrics,by M.I.A. (2007)
Boxoff,Machinedrum,Electronic / Dance,Drums,by Machinedrum (2014)
I Just Wanna,Kotton the Cutie,Electronic / Dance,Multiple Elements,by Kotton the Cutie (2001)
Thunderbirds Are Go!,F.A.B.,Electronic / Dance,Multiple Elements,by F.A.B. feat. MC Parker (1990)
Thunderbirds Are Go!,MC Parker,Electronic / Dance,Multiple Elements,by F.A.B. feat. MC Parker (1990)
I Need You,Milo Mills,Electronic / Dance,Vocals / Lyrics,by Milo Mills (2014)
Talking Sense,Stezo,Hip-Hop / Rap / R&B,Multiple Elements,by Stezo (1989)
All I Wanna Do...,Full Force,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Full Force feat. Samantha Fox (1989)
All I Wanna Do...,Samantha Fox,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Full Force feat. Samantha Fox (1989)
No Omega,Eric B. & Rakim,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Eric B. & Rakim (1990)
Last Night,Pick-4,Electronic / Dance,Vocals / Lyrics,by Pick-4 (1990)
Intro,Hagane Shizuka,Soundtrack / Library,Drums,by Hagane Shizuka (1990)
Alma Gémea,Sam the Kid,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Sam the Kid (2002)
R&D-iv,Rabit,Electronic / Dance,Multiple Elements,by Rabit and Dedekind Cut (2016)
R&D-iv,Dedekind Cut,Electronic / Dance,Multiple Elements,by Rabit and Dedekind Cut (2016)
CrazyFunkyStyle,The PartySquad,Electronic / Dance,Drums,by The PartySquad (2007)
Attitude,Leikeli47,Hip-Hop / Rap / R&B,Multiple Elements,by Leikeli47 (2018)
Krump Make America Dance Again,DJ Yung Vamp,Hip-Hop / Rap / R&B,Vocals / Lyrics,by DJ Yung Vamp (2019)
Zombie,Soudiere,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Soudiere (2019)
Senorita,Trippy Turtle,Electronic / Dance,Drums,by Trippy Turtle (2014)
Rat River,LemKuuja,Electronic / Dance,Multiple Elements,by LemKuuja (2018)
Rinse Out,Ganja Max,Electronic / Dance,Multiple Elements,by Ganja Max feat. DJ Daddy and MC Fats (1995)
Rinse Out,DJ Daddy,Electronic / Dance,Multiple Elements,by Ganja Max feat. DJ Daddy and MC Fats (1995)
Rinse Out,MC Fats,Electronic / Dance,Multiple Elements,by Ganja Max feat. DJ Daddy and MC Fats (1995)
Tears in the Rain,Zomby,Electronic / Dance,Drums,by Zomby (2008)
Mind Right,Boogz Boogetz,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Boogz Boogetz feat. Chinx Drugz (2012)
Mind Right,Chinx Drugz,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Boogz Boogetz feat. Chinx Drugz (2012)
Zoolookologie (Transform Mix),Jean-Michel Jarre,Electronic / Dance,Drums,by Jean-Michel Jarre (1991)
Surgery,Doc Scott,Electronic / Dance,Drums,by Doc Scott (1991)
On and On,Girl Talk,Electronic / Dance,Vocals / Lyrics,by Girl Talk (2010)
M.I.L.F. $,Fergie,Rock / Pop,Multiple Elements,by Fergie (2016)
Twist 'Em Out (Keaton Remix),Dillinja,Electronic / Dance,Drums,by Dillinja (2003)
I'm Untouchable,Unique (Rapper),Hip-Hop / Rap / R&B,Drums,by Unique (Rapper) (1989)
Love Divine,Sub Focus,Electronic / Dance,Drums,by Sub Focus (2016)
Teddy's Jam (Extended Version),Guy,Rock / Pop,Multiple Elements,by Guy (1988)
We've Got the Juice,Derek B,Hip-Hop / Rap / R&B,Multiple Elements,by Derek B (1988)
NRG,Chase & Status,Electronic / Dance,Drums,by Chase & Status feat. Novelist (2016)
NRG,Novelist,Electronic / Dance,Drums,by Chase & Status feat. Novelist (2016)
Clear,Panteros666,Electronic / Dance,Vocals / Lyrics,by Panteros666 feat. Woodkid (2015)
Clear,Woodkid,Electronic / Dance,Vocals / Lyrics,by Panteros666 feat. Woodkid (2015)
That's How I'm Living,Tony Scott,Electronic / Dance,Drums,by Tony Scott (1989)
Rest Assured,Eric B. & Rakim,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Eric B. & Rakim (1992)
The 900 Number (Ced Gee Remix 1),The 45 King,Hip-Hop / Rap / R&B,Vocals / Lyrics,by The 45 King feat. Lakim Shabazz (1991)
The 900 Number (Ced Gee Remix 1),Lakim Shabazz,Hip-Hop / Rap / R&B,Vocals / Lyrics,by The 45 King feat. Lakim Shabazz (1991)
Pull Up,The PartySquad,Electronic / Dance,Drums,by The PartySquad (2010)
Let's Go,Samy Deluxe,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Samy Deluxe (2005)
So Deep,Kiesza,Soul / Funk / Disco,Drums,by Kiesza (2014)
Straight Through,Mello-Mar,Hip-Hop / Rap / R&B,Multiple Elements,by Mello-Mar and J-Cutt (1989)
Straight Through,J-Cutt,Hip-Hop / Rap / R&B,Multiple Elements,by Mello-Mar and J-Cutt (1989)
Sphäre,RAF Camora,Hip-Hop / Rap / R&B,Vocals / Lyrics,by RAF Camora (2015)
Bells of N.Y. (Xen Mantra's Beefy Bell's Mix),Slo Moshun,Electronic / Dance,Vocals / Lyrics,by Slo Moshun (1994)
Dopemix Vol. 1,DJ Prince Ice,Hip-Hop / Rap / R&B,Drums,by DJ Prince Ice (1988)
Fused of Course,DJ Shadow,Soul / Funk / Disco,Vocals / Lyrics,by DJ Shadow and Cut Chemist (2008)
Fused of Course,Cut Chemist,Soul / Funk / Disco,Vocals / Lyrics,by DJ Shadow and Cut Chemist (2008)
Walking Wounded,Everything but the Girl,Electronic / Dance,Drums,by Everything but the Girl (1996)
Flexin',Heavy D & the Boyz,Hip-Hop / Rap / R&B,Multiple Elements,by Heavy D & the Boyz (1989)
Do It,Danny Breaks,Electronic / Dance,Drums,by Danny Breaks (1994)
We Have Explosive (Mantronik Plastic Formula #1),The Future Sound of London,Electronic / Dance,Drums,by The Future Sound of London (1997)
Lifted,Naughty Boy,Rock / Pop,Drums,by Naughty Boy feat. Emeli Sandé (2013)
Lifted,Emeli Sandé,Rock / Pop,Drums,by Naughty Boy feat. Emeli Sandé (2013)
Jah Warriors,Congo Natty,Electronic / Dance,Drums,by Congo Natty feat. YT and Nanci Correira (2013)
Jah Warriors,YT,Electronic / Dance,Drums,by Congo Natty feat. YT and Nanci Correira (2013)
Jah Warriors,Nanci Correira,Electronic / Dance,Drums,by Congo Natty feat. YT and Nanci Correira (2013)
$85 Bucks an Hour,Twiztid,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Twiztid and Insane Clown Posse (1998)
$85 Bucks an Hour,Insane Clown Posse,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Twiztid and Insane Clown Posse (1998)
I Gave My Love (Shan & Gerd Janson Edit),Move D,Electronic / Dance,Drums,by Move D (2016)
Float,Zomby,Electronic / Dance,Drums,by Zomby (2008)
Cassandra,Frankie Paul,Reggae / Dub,Vocals / Lyrics,by Frankie Paul (1992)
Bloodshed Hua Hoo,Crustified Dibbs,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Crustified Dibbs (1994)
Voices,Vangelis,Electronic / Dance,Drums,by Vangelis (1995)
Voltaic Acid,Lapalux,Electronic / Dance,Drums,by Lapalux (2019)
I'm True to This,Kurtis Blow,Hip-Hop / Rap / R&B,Drums,by Kurtis Blow (1988)
Only You,Nookie,Electronic / Dance,Drums,by Nookie (1994)
Norwegian Wood (This Bird Has Flown),P.M. Dawn,Hip-Hop / Rap / R&B,Vocals / Lyrics,by P.M. Dawn (1993)
Cómo Puedes Vivir Contigo Mismo,Alex Anwandter,Electronic / Dance,Multiple Elements,by Alex Anwandter (2011)
